List Name,List Title,URL
CAFE_CORE_USERS,CAFE_CORE_USERS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAFE_CORE_USERS
CAFE_POW,Cafe Process Owners,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAFE_POW
CAMPKESEMNU,Camp Kesem Northwestern,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAMPKESEMNU
CAMRI,CAMRI,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAMRI
CANDUITS,CANDUITS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CANDUITS
CANVASMINUTE,The Canvas Minute,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CANVASMINUTE
CANVAS_UPDATES,Canvas Updates,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CANVAS_UPDATES
CAREERCOLLABORATION,CAREERCOLLABORATION,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAREERCOLLABORATION
CAREERSTRATEGY,CAREERSTRATEGY,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAREERSTRATEGY
CARIBNATION,"CaribNation, NU's Caribbean Student Association",https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CARIBNATION
CASDAS,CASDAS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CASDAS
CASTILLO14,Castillo 2014 Mentor List,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CASTILLO14
CATATONICS,CATATONICS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CATATONICS
CATRACKS-QAS-ADM,QAS Electronic Updates,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CATRACKS-QAS-ADM
CATS,Creative Arts & Technology Studio,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CATS
